,name,size,mean,median,variance,standard deviation,minimum,maximum,entropy,chi-square test p value,kolmogorov-smirnov test p value
11,dat_sample1_seed22,1000000,2146072935.154407,2147904286.5,1.5373576147709094e+18,1239902260.1684818,2874.0,4294966633.0,9.965056506706105,0.4072116060086051,0.5964534731299087
12,dat_sample1_seed23,1000000,2148203020.408041,2147832874.5,1.5371796690779261e+18,1239830500.140211,854.0,4294960140.0,9.965046672668038,0.2987764583974787,0.7605760524425578
13,dat_sample1_seed24,1000000,2145991574.861507,2143838814.0,1.538597455685035e+18,1240402134.6664295,12459.0,4294962588.0,9.965064052909058,0.49712009308910604,0.252948333739043
14,dat_sample1_seed25,1000000,2147379746.256064,2147341965.0,1.538175296045586e+18,1240231952.517587,4231.0,4294964744.0,9.965121118950771,0.9666169749233327,0.8471651979913801
15,dat_sample2_seed11,1000000,2146656131.425825,2145673952.5,1.390021392948045e+18,1178991684.851104,986478.0,4293750701.0,9.928898928790254,0.0,0.0
16,dat_sample2_seed12,1000000,2149627420.201658,2149255892.0,1.389885930256399e+18,1178934234.915756,640574.0,4294054602.0,9.92880461673932,0.0,0.0
17,dat_sample2_seed13,1000000,2149243448.592112,2149093680.5,1.3922270333763372e+18,1179926706.781543,1903471.0,4293692045.0,9.92906011283954,0.0,0.0
18,dat_sample2_seed14,1000000,2148729340.983764,2151431662.5,1.3928026275878374e+18,1180170592.5788176,684535.0,4294126903.0,9.929205441286603,0.0,0.0
19,dat_sample2_seed15,1000000,2149549782.171944,2150529377.5,1.3915621093611254e+18,1179644908.1656418,1645828.0,4293931318.0,9.928576714612925,0.0,0.0
20,dat_sample2_seed16,1000000,2147889876.003783,2147847229.5,1.3907580346628408e+18,1179304046.7423322,1813842.0,4294397697.0,9.928851638358442,0.0,0.0
21,dat_sample2_seed17,1000000,2147656362.559795,2148443351.0,1.389623715665105e+18,1178823021.3501537,1617390.0,4292866365.0,9.929230457314565,0.0,0.0
22,dat_sample2_seed18,1000000,2147167752.924284,2147357871.0,1.3925687131800804e+18,1180071486.4702394,734643.0,4293687285.0,9.928864300378393,0.0,0.0
23,dat_sample2_seed19,1000000,2146109048.610756,2146918976.0,1.3889308178978624e+18,1178529090.815268,922703.0,4292659356.0,9.928797764031383,0.0,0.0
24,dat_sample2_seed20,1000000,2147425610.526516,2147194124.5,1.390269040209173e+18,1179096705.1981668,1381906.0,4294346308.0,9.92849792691731,0.0,0.0
25,dat_sample2_seed21,1000000,2146650103.618316,2147958661.0,1.3901554247453366e+18,1179048525.1868715,3685337.0,4292463379.0,9.92860672105845,0.0,0.0
26,dat_sample2_seed22,1000000,2146817363.836812,2144874379.5,1.391225367930479e+18,1179502169.5319085,1197131.0,4294094731.0,9.928787337499037,0.0,0.0
27,dat_sample2_seed23,1000000,2147021443.660731,2145487162.0,1.391259847341795e+18,1179516785.5277834,1036308.0,4294345751.0,9.929141091525457,0.0,0.0
28,dat_sample2_seed24,1000000,2148125572.242902,2147186295.0,1.3915253832276347e+18,1179629341.457576,1253788.0,4294050695.0,9.929125504320963,0.0,0.0
29,dat_sample2_seed25,1000000,2148764059.845635,2148488463.5,1.3916394684901844e+18,1179677696.8690155,976182.0,4294300420.0,9.92934407953354,0.0,0.0
30,dat_sample3_seed11,1000000,2146847356.159785,2147382602.0,1.5388727358278879e+18,1240513093.7752683,11689.0,4294958973.0,9.96509446739394,0.8306202739014364,0.3022170769291096
31,dat_sample3_seed12,1000000,2147217234.89769,2147097662.5,1.5376707613509775e+18,1240028532.4745464,3949.0,4294966409.0,9.965057419706294,0.4156709383576872,0.8913325062551165
32,dat_sample3_seed13,1000000,2146479415.336905,2146510853.0,1.538256992203426e+18,1240264887.9184744,481.0,4294962216.0,9.965071447022106,0.5918809358334508,0.3981770794752164
33,dat_sample3_seed14,1000000,2146099144.512391,2146852351.5,1.5380911388330913e+18,1240198024.0401495,6232.0,4294962125.0,9.965069022849715,0.5597255709150393,0.47259350558164437
34,dat_sample3_seed15,1000000,2146597737.454775,2146636658.5,1.5381982503975268e+18,1240241206.5390856,17908.0,4294952981.0,9.965052473015522,0.35715194247246623,0.6285383935316706
35,dat_sample3_seed16,1000000,2148163804.465204,2150969084.0,1.539521192233038e+18,1240774432.4546013,1585.0,4294965736.0,9.965022843738502,0.10679624299749509,0.42619571447610627
36,dat_sample3_seed17,1000000,2146814658.400333,2146247917.5,1.5374943657021972e+18,1239957404.793486,2715.0,4294964704.0,9.965005319007988,0.041069065291314544,0.7272146390848939
37,dat_sample3_seed18,1000000,2147624365.045387,2149134728.0,1.5377261537794173e+18,1240050867.416098,1922.0,4294965300.0,9.965025504885384,0.11555507421659744,0.9126830595522016
38,dat_sample3_seed19,1000000,2145912114.641507,2146771221.0,1.5385441642099249e+18,1240380652.948894,464.0,4294965651.0,9.965062452413402,0.4852206143689246,0.2781249857330168
39,dat_sample3_seed20,1000000,2145724119.343865,2146605648.0,1.5359040863806461e+18,1239315975.1978695,3571.0,4294965395.0,9.965036680940962,0.20250350833381994,0.37320447891609543
40,dat_sample3_seed21,1000000,2149660645.777072,2150072794.0,1.536312471809599e+18,1239480726.6793618,2596.0,4294964919.0,9.965077570094872,0.6636885595434635,0.1401830976625683
41,dat_sample3_seed22,1000000,2146093512.363493,2145313825.0,1.536892698577055e+18,1239714765.0072799,2640.0,4294953532.0,9.965010753984629,0.0523224394600867,0.4268292112622397
42,dat_sample3_seed23,1000000,2147508119.395634,2147808644.5,1.5373252005264855e+18,1239889188.8094215,2812.0,4294961828.0,9.965022198541787,0.10298739114836629,0.9805059201275712
43,dat_sample3_seed24,1000000,2146791764.018712,2145472421.0,1.5349494532949217e+18,1238930770.1784315,12852.0,4294966133.0,9.965051922869925,0.3528011092890771,0.24156945131056107
44,dat_sample3_seed25,1000000,2147778617.730001,2147874534.0,1.5378905495068378e+18,1240117151.5251443,4822.0,4294956700.0,9.965054796324027,0.3822404727053875,0.7730439339055959
45,dat_sample4_seed11,1000000,2147476810.220266,2147806531.0,7.693037523582067e+17,877099625.1043588,3024219.0,4294183550.0,9.686767373900102,0.0,0.0
46,dat_sample4_seed12,1000000,2146737940.783181,2146920108.0,7.696078468866108e+17,877272960.307458,1925948.0,4292040436.0,9.686978320989502,0.0,0.0
47,dat_sample4_seed13,1000000,2148556404.894954,2149026382.0,7.704033771814132e+17,877726254.1256318,4822525.0,4294141180.0,9.687949753167809,0.0,0.0
48,dat_sample4_seed14,1000000,2147311816.004306,2146756959.0,7.684550704243722e+17,876615691.408939,3055392.0,4289285548.0,9.686226870239658,0.0,0.0
49,dat_sample4_seed15,1000000,2150052763.879702,2150281969.0,7.680456948702124e+17,876382162.5696249,1575062.0,4293970642.0,9.685916930425435,0.0,0.0
50,dat_sample4_seed16,1000000,2147488782.617694,2147990298.5,7.696124539368522e+17,877275586.0827613,2325843.0,4290484829.0,9.687308916366865,0.0,0.0
51,dat_sample4_seed17,1000000,2147051614.434375,2147455562.0,7.696547309186988e+17,877299681.3624742,1334932.0,4293898315.0,9.687286716938129,0.0,0.0
52,dat_sample4_seed18,1000000,2146924744.14845,2147088268.0,7.680516097728163e+17,876385537.1768844,4470140.0,4294157647.0,9.68601533125744,0.0,0.0
53,dat_sample4_seed19,1000000,2148628354.437878,2148584337.5,7.68203698177456e+17,876472303.1433772,2256867.0,4291650794.0,9.685978374295411,0.0,0.0
54,dat_sample4_seed20,1000000,2149898577.562843,2149999283.5,7.688605415944631e+17,876846931.6787641,1285706.0,4289275915.0,9.686541794917227,0.0,0.0
55,dat_sample4_seed21,1000000,2146297312.827645,2146464387.5,7.687905509231821e+17,876807020.343235,2083816.0,4293654139.0,9.68646753968234,0.0,0.0
56,dat_sample4_seed22,1000000,2147333208.439626,2148755395.5,7.68856445606099e+17,876844596.0408828,748709.0,4293768607.0,9.686665502769566,0.0,0.0
57,dat_sample4_seed23,1000000,2147700187.810911,2146904505.5,7.68767724522925e+17,876794003.4711261,2101214.0,4291308541.0,9.686516143434257,0.0,0.0
58,dat_sample4_seed24,1000000,2147525207.405183,2147934169.0,7.6939061869833e+17,877149142.790626,3339765.0,4292181750.0,9.68701940801111,0.0,0.0
59,dat_sample4_seed25,1000000,2146813059.808742,2146210325.0,7.68721395241106e+17,876767583.3658006,4266504.0,4292246929.0,9.686495293797936,0.0,0.0
60,dat_sample5_seed11,1000000,2148517339.88815,2149736351.0,1.5376681055113198e+18,1240027461.5956373,4470.0,4294964701.0,9.965075444865901,0.6280953498035252,0.4937396127759889
61,dat_sample5_seed12,1000000,2147126214.728617,2148179004.5,1.5385344239406167e+18,1240376726.6200285,442.0,4294966620.0,9.965036293453068,0.1991336803295866,0.39250212773418713
62,dat_sample5_seed13,1000000,2148049071.986852,2147155681.0,1.5353678776088934e+18,1239099623.7627115,489.0,4294965452.0,9.965042771700924,0.26252559202394193,0.7935493171318087
63,dat_sample5_seed14,1000000,2148316727.475136,2150109401.5,1.538144518122683e+18,1240219544.3237793,6386.0,4294966940.0,9.96507805231732,0.665126429070329,0.2728626488278437
64,dat_sample5_seed15,1000000,2145910790.049507,2145555675.0,1.5362088796486968e+18,1239438937.4425416,11803.0,4294958365.0,9.965083400063051,0.7236009624616412,0.28806842111440534
65,dat_sample5_seed16,1000000,2147258171.97016,2146865700.5,1.538938393431531e+18,1240539557.382807,3864.0,4294964856.0,9.965070124318554,0.5717444075327749,0.905338445776836
66,dat_sample5_seed17,1000000,2148409557.28643,2149434259.5,1.5355679661412388e+18,1239180360.6179526,384.0,4294965673.0,9.965066481135185,0.5228231881954346,0.31556763575899405
67,dat_sample5_seed18,1000000,2146791652.068815,2147101803.5,1.5353642459617723e+18,1239098158.323937,1734.0,4294965171.0,9.965076792172503,0.6548984100340204,0.2350035137350006
68,dat_sample5_seed19,1000000,2146349613.310095,2146316363.0,1.5368956443461875e+18,1239715953.0901372,3066.0,4294961114.0,9.965073171381457,0.6079633542984129,0.6079133383247408
69,dat_sample5_seed20,1000000,2147809769.087646,2148335661.5,1.5346721053471693e+18,1238818834.7563858,6022.0,4294959297.0,9.965069664679328,0.5754156184463002,0.1895263394854465
70,dat_sample5_seed21,1000000,2146009486.859018,2145885519.0,1.5381468983170913e+18,1240220503.9093215,8380.0,4294963398.0,9.965036585901155,0.2010164568220054,0.5741827490811873
